strain_name	accession_number	lead_author	permission_type	publication_pubmed_id	permission_to_use	preliminarily_include
PHE_Guadeloupe	KX673530	Atkinson 	previously_published	27738033	not_necessary	yes
BeH818995	KU365777	Azevedo 	previously_published	27013429	not_necessary	yes
BeH819015	KU365778	Azevedo 	previously_published	27013429	not_necessary	yes
BeH819966	KU365779	Azevedo 	previously_published	27013429	not_necessary	yes
BeH815744	KU365780	Azevedo 	previously_published	27013429	not_necessary	yes
Aedes_sp/MEX_I_44/2016	KX856011	Balaraman 	unpublished	NA	permission_not_received	no
H/PF/2013	KJ776791	Baronti 	previously_published	24903869	not_necessary	yes
MEX_I_7	KX247632	Barrows 	previously_published	27476412	not_necessary	yes
Dominican_Republic/2016/PD1	KU853012	Barzon 	previously_published	27542178	not_necessary	yes
Haiti/2016/PD	KX269878	Barzon 	previously_published	26987769	not_necessary	yes
SMGC_1	KX266255	Bi 	unpublished	NA	permission_not_received	no
BR_SJRP21	KY441401	Bittar 	unpublished	NA	email_sent	no
BR_SJRP61	KY441402	Bittar 	unpublished	NA	email_sent	no
BR_SJRP1840	KY441403	Bittar 	unpublished	NA	email_sent	no
COL/FH02/2016	COL02	Black 	published_here	NA	not_necessary	yes
COL/FH03/2016	COL03	Black 	published_here	NA	not_necessary	yes
Aedes_aegypti/COL/FH04/2016	COL04	Black 	published_here	NA	not_necessary	yes
COL/FH05/2016	COL05	Black 	published_here	NA	not_necessary	yes
COL/FH07/2016	COL07	Black 	published_here	NA	not_necessary	yes
COL/FH09/2016	COL09	Black 	published_here	NA	not_necessary	yes
COL/FH16/2015	COL16	Black 	published_here	NA	not_necessary	yes
COL/FH19/2015	COL19	Black 	published_here	NA	not_necessary	yes
USVI/1/2016	VI1_1d	Black 	published_here	NA	not_necessary	yes
USVI/11/2016	VI11	Black 	published_here	NA	not_necessary	yes
USVI/12/2016	VI12	Black 	published_here	NA	not_necessary	yes
USVI/13/2016	VI13	Black 	published_here	NA	not_necessary	yes
USVI/15/2016	VI15_1d	Black 	published_here	NA	not_necessary	yes
USVI/19/2016	VI19	Black 	published_here	NA	not_necessary	yes
USVI/2/2016	VI2	Black 	published_here	NA	not_necessary	yes
USVI/20/2016	VI20	Black 	published_here	NA	not_necessary	yes
USVI/21/2016	VI21	Black 	published_here	NA	not_necessary	yes
USVI/22/2016	VI22	Black 	published_here	NA	not_necessary	yes
USVI/23/2016	VI23	Black 	published_here	NA	not_necessary	yes
USVI/24/2016	VI24	Black 	published_here	NA	not_necessary	yes
USVI/25/2016	VI25_1d	Black 	published_here	NA	not_necessary	yes
USVI/27/2016	VI27	Black 	published_here	NA	not_necessary	yes
USVI/28/2016	VI28	Black 	published_here	NA	not_necessary	yes
